active,h_noise,n_noise_cols,seed,rho_A0,rho_A,rho_H1,rho_HN,rho_IV,rho_FA,rho_EBT
5,0.3,4,0,0.20176827582752785,0.048668279005974514,0.5932337131095514,0.5554323506154147,0.3043023165097188,0.7643290154616983,0.5554323506154147
5,0.3,4,1,0.311346187742176,0.021564075076836543,0.6940838994339475,0.6861462104728855,0.4681827857254997,0.8022334366810083,0.6861462104728855
5,0.3,4,2,0.2928890442796147,-0.0047493698488696775,0.6750507829092034,0.6353498169503671,0.43293429380212534,0.8037680003621503,0.6353498169503671
5,0.3,4,3,0.22807907204768055,-0.021513268088491806,0.7521529160321814,0.6374095467053474,0.36962132179075613,0.7978512737384216,0.6374095467053474
5,0.3,4,4,0.27950489432628006,-0.004576963196477125,0.6736869403405562,0.6768218037588503,0.4381064933739019,0.8031734863610929,0.6768218037588503
5,0.3,4,5,0.1758998134348125,-0.06498382363281044,0.6122555124378397,0.5143699500020709,0.3059510153210761,0.79647804030463,0.5143699500020709
5,0.3,12,0,0.20176827582752785,0.048668279005974514,0.5932337131095514,0.5276457438191252,0.30781738957064964,0.762120958195721,0.5276457438191252
5,0.3,12,1,0.311346187742176,0.021564075076836543,0.6940838994339475,0.6452138372230779,0.4588800502387207,0.8040326301260879,0.6452138372230779
5,0.3,12,2,0.2928890442796147,-0.0047493698488696775,0.6750507829092034,0.602013208853804,0.4262836349486585,0.8021958732204311,0.602013208853804
5,0.3,12,3,0.22807907204768055,-0.021513268088491806,0.7521529160321814,0.5385535948713356,0.3623484579236268,0.803830606129779,0.5385535948713356
5,0.3,12,4,0.27950489432628006,-0.004576963196477125,0.6736869403405562,0.6303430410799785,0.42737947667357257,0.8005199649792967,0.6303430410799785
5,0.3,12,5,0.1758998134348125,-0.06498382363281044,0.6122555124378397,0.5107749341917066,0.30347519800277967,0.7971171007172695,0.5107749341917066
5,0.6,0,0,0.20176827582752785,0.12513785308448985,0.4070639050780983,0.5656891016842879,0.3047583754477517,0.770179765238003,0.5656891016842879
5,0.6,0,1,0.311346187742176,0.14426271113795133,0.5068962660957022,0.6902940833696929,0.4698972205928671,0.8026170174034403,0.6902940833696929
5,0.6,0,2,0.2928890442796147,0.13227442901132008,0.47424446878043003,0.634309357250663,0.4331168136939041,0.8050109656409916,0.634309357250663
5,0.6,0,3,0.22807907204768055,0.059417930099215706,0.5547961796997428,0.6917304041539409,0.37647785730315547,0.8003660992657788,0.6917304041539409
5,0.6,0,4,0.27950489432628006,0.12493606987959467,0.4754409613163778,0.6968688929277636,0.4407590515900421,0.8024142710328893,0.6968688929277636
5,0.6,0,5,0.1758998134348125,0.039177967007723635,0.39912573453420824,0.5386443732343971,0.30970856533586066,0.7961339493740868,0.5386443732343971
5,0.6,4,0,0.20176827582752785,0.12513785308448985,0.4070639050780983,0.5554323506154147,0.3043023165097188,0.7643290154616983,0.5554323506154147
5,0.6,4,1,0.311346187742176,0.14426271113795133,0.5068962660957022,0.6861462104728855,0.4681827857254997,0.8022334366810083,0.6861462104728855
5,0.6,4,2,0.2928890442796147,0.13227442901132008,0.47424446878043003,0.6353498169503671,0.43293429380212534,0.8037680003621503,0.6353498169503671
5,0.6,4,3,0.22807907204768055,0.059417930099215706,0.5547961796997428,0.6374095467053474,0.36962132179075613,0.7978512737384216,0.6374095467053474
