p_useful,p_noise,p_total,rho_A0,rho_A,rho_HN,rho_EBT,tau2,w_mean,var_HN,var_A0,seed,n_builds
8,6,14,0.24944723618090459,0.24119552988824727,0.5347738693467338,0.5347738693467338,0.001393173266580718,0.06434572531879537,0.0066829049199952665,0.027863465331614358,2,200
8,12,20,0.24944723618090459,0.24119552988824727,0.616569414235356,0.616569414235356,0.001393173266580718,0.06434572531879537,0.007274451236624151,0.027863465331614358,2,200
13,0,13,0.24944723618090459,0.24119552988824727,0.725644641116028,0.725644641116028,0.0015481065613419734,0.07099352715234274,0.0061670650988224105,0.027863465331614358,2,200
13,2,15,0.24944723618090459,0.24119552988824727,0.736737418435461,0.736737418435461,0.001393173266580718,0.06434572531879537,0.007117040045623944,0.027863465331614358,2,200
13,6,19,0.24944723618090459,0.24119552988824727,0.6078931973299334,0.6078931973299334,0.001393173266580718,0.06434572531879537,0.007888674888602563,0.027863465331614358,2,200
13,12,25,0.24944723618090459,0.24119552988824727,0.5827555688892223,0.5827555688892223,0.001393173266580718,0.06434572531879537,0.010790501490627092,0.027863465331614358,2,200
20,0,20,0.24944723618090459,0.24119552988824727,0.6687857196429912,0.6687857196429912,0.001393173266580718,0.06434572531879537,0.007685568244194022,0.027863465331614358,2,200
20,2,22,0.24944723618090459,0.24119552988824727,0.6250236255906398,0.6250236255906398,0.001393173266580718,0.06434572531879537,0.008110312504532974,0.027863465331614358,2,200
20,6,26,0.24944723618090459,0.24119552988824727,0.526724668116703,0.526724668116703,0.001393173266580718,0.06434572531879537,0.008192163614028967,0.027863465331614358,2,200
20,12,32,0.24944723618090459,0.24119552988824727,0.5968109202730069,0.5968109202730069,0.001393173266580718,0.06434572531879537,0.0089758340449821,0.027863465331614358,2,200
0,0,0,0.45243531088277217,0.4104012600315008,0.45243531088277217,0.45243531088277217,,1.0,0.037983650727766556,0.037983650727766556,3,200
0,2,2,0.45243531088277217,0.4104012600315008,0.445956648916223,0.445956648916223,0.016892741709997418,0.4473235241855714,0.007776135395439172,0.037983650727766556,3,200
0,6,6,0.45243531088277217,0.4104012600315008,0.45088577214430375,0.45088577214430375,0.016055902500803083,0.4347988436231991,0.008037541690436878,0.037983650727766556,3,200
0,12,12,0.45243531088277217,0.4104012600315008,0.43767794194854875,0.43767794194854875,0.01532797364303403,0.4234332482763233,0.008274756376693684,0.037983650727766556,3,200
1,0,1,0.45243531088277217,0.4104012600315008,0.561540538513463,0.561540538513463,0.011931282614276263,0.36373003917880153,0.009520839629031752,0.037983650727766556,3,200
1,2,3,0.45243531088277217,0.4104012600315008,0.5489402235055877,0.5489402235055877,0.014468817039041452,0.40941628249623646,0.008567308595765055,0.037983650727766556,3,200
1,6,7,0.45243531088277217,0.4104012600315008,0.5421720543013576,0.5421720543013576,0.011773437863561782,0.3606535283159701,0.009585050392904556,0.037983650727766556,3,200
1,12,13,0.45243531088277217,0.4104012600315008,0.6061666541663542,0.6061666541663542,0.010780203043109136,0.3405906172448937,0.010003789315932633,0.037983650727766556,3,200
2,0,2,0.45243531088277217,0.4104012600315008,0.6483132078301959,0.6483132078301959,0.009355105638263438,0.3095011524189676,0.010652666688344224,0.037983650727766556,3,200
2,2,4,0.45243531088277217,0.4104012600315008,0.636806420160504,0.636806420160504,0.007026088359934662,0.2518547501798965,0.01185582171926251,0.037983650727766556,3,200
2,6,8,0.45243531088277217,0.4104012600315008,0.6095822395559889,0.6095822395559889,0.00912499798822114,0.30420419554049216,0.010763221034658241,0.037983650727766556,3,200
2,12,14,0.45243531088277217,0.4104012600315008,0.6409495237380936,0.6409495237380936,0.008054635636332377,0.2784572745824754,0.011300592601279582,0.037983650727766556,3,200
4,0,4,0.45243531088277217,0.4104012600315008,0.7149208730218256,0.7149208730218256,0.006790293063166503,0.2454773457164935,0.011988926405180683,0.037983650727766556,3,200
4,2,6,0.45243531088277217,0.4104012600315008,0.6841641041026028,0.6841641041026028,0.006982257289906212,0.2506774494453894,0.011880393509462914,0.037983650727766556,3,200
4,6,10,0.45243531088277217,0.4104012600315008,0.6996744918622967,0.6996744918622967,0.007200555503730933,0.25650448881252974,0.011758775655483777,0.037983650727766556,3,200
4,12,16,0.45243531088277217,0.4104012600315008,0.6648706217655442,0.6648706217655442,0.006241573917509145,0.2302070680853246,0.012307636864842432,0.037983650727766556,3,200
8,0,8,0.45243531088277217,0.4104012600315008,0.7481212030300759,0.7481212030300759,0.008667775778872264,0.2934342798562901,0.010988003115320864,0.037983650727766556,3,200
8,2,10,0.45243531088277217,0.4104012600315008,0.7306562664066603,0.7306562664066603,0.0072122469900540095,0.2568140141493327,0.01175231546106216,0.037983650727766556,3,200
8,6,14,0.45243531088277217,0.4104012600315008,0.6509847746193655,0.6509847746193655,0.005291812081864491,0.2022623762259913,0.012890878754918757,0.037983650727766556,3,200
8,12,20,0.45243531088277217,0.4104012600315008,0.6992709817745445,0.6992709817745445,0.005096015299955316,0.19624733417948234,0.013016420468162714,0.037983650727766556,3,200
13,0,13,0.45243531088277217,0.4104012600315008,0.8020130503262582,0.8020130503262582,0.005256908756153207,0.20119671947291803,0.012913120390717223,0.037983650727766556,3,200
