noise_mult,seed,strategy,mean_cov_q_corr,prior_rho_upperbound,rho_truth,rho_alpha_truth,ceiling_pct,top5,top10,top25
4.0,5,J,0.167469137312194,0.38614562384026485,0.5596675518616873,0.5596675518616873,0.0033333333333333335,0.2,0.1,0.28
4.0,6,A0,0.15134137444067056,0.43342348248313867,0.4323980841198364,0.44594317714641263,0.25333333333333335,0.0,0.1,0.12
4.0,6,A,0.15134137444067056,0.43342348248313867,0.4573374489247626,0.4700656673963044,0.25333333333333335,0.0,0.1,0.16
4.0,6,D,0.15134137444067056,0.43342348248313867,0.5361446238291536,0.5361446238291536,0.0033333333333333335,0.4,0.3,0.36
4.0,6,J,0.15134137444067056,0.43342348248313867,0.6271563017366858,0.6271563017366858,0.0033333333333333335,0.2,0.2,0.44
4.0,7,A0,0.10304568947872325,0.22015089056545067,0.4336966966291289,0.4390471005233391,0.25333333333333335,0.0,0.2,0.16
4.0,7,A,0.10304568947872325,0.22015089056545067,0.4385405033645318,0.44732230358115094,0.25333333333333335,0.2,0.1,0.16
4.0,7,D,0.10304568947872325,0.22015089056545067,0.3858687318747986,0.3858687318747986,0.006666666666666667,0.0,0.1,0.16
4.0,7,J,0.10304568947872325,0.22015089056545067,0.46981455349503887,0.46981455349503887,0.006666666666666667,0.2,0.2,0.28
4.0,8,A0,0.1261792351997558,0.314008822320248,0.4877520024615006,0.48917787975421945,0.25333333333333335,0.0,0.0,0.16
4.0,8,A,0.1261792351997558,0.314008822320248,0.5222013065274553,0.5242996033289258,0.25333333333333335,0.0,0.0,0.12
4.0,8,D,0.1261792351997558,0.314008822320248,0.5831211457905088,0.5831211457905088,0.01,0.2,0.2,0.4
4.0,8,J,0.1261792351997558,0.314008822320248,0.6431902576695296,0.6431902576695296,0.0033333333333333335,0.0,0.1,0.32
4.0,9,A0,0.19214875609543647,0.40985344281603125,0.61995259314395,0.6303972266358515,0.25333333333333335,0.0,0.1,0.2
4.0,9,A,0.19214875609543647,0.40985344281603125,0.625487155981173,0.6315474616384626,0.25333333333333335,0.0,0.0,0.08
4.0,9,D,0.19214875609543647,0.40985344281603125,0.6250967232969254,0.6250967232969254,0.0033333333333333335,0.0,0.2,0.24
4.0,9,J,0.19214875609543647,0.40985344281603125,0.6514352381693129,0.6514352381693129,0.006666666666666667,0.2,0.2,0.28
